step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
838,0.0163,0.99793,,,,
839,0.00834,0.99458,,,,
840,0.06341,0.97619,0.11428,0.96923,,
841,9.00E-05,1,,,,
842,0.03108,0.98857,,,,
843,0.00618,1,,,,
844,0.02967,0.99383,,,,
845,0.03727,0.98235,,,,
846,0.02301,0.98947,,,,
847,0.00296,1,,,,
848,0.00042,1,,,,
849,0.00368,1,,,,
850,0.04232,0.98701,0.05621,0.9823,,
851,0.00015,1,,,,
852,0.01326,0.99701,,,,
853,0.00784,0.99281,,,,
854,1.00E-05,1,,,,
855,0.06424,0.98119,,,,
856,0.0112,0.99659,,,,
857,3.00E-05,1,,,,
858,0.02826,0.99482,,,,
859,0.00151,1,,,,
860,2.00E-05,1,0.02844,0.98726,,
861,0,1,,,,
862,0.01311,0.99573,,,,
863,0.02178,0.9888,,,,
864,0.01217,1,,,,
865,0.01268,0.99138,,,,
866,0.00247,1,,,,
867,0.05837,0.97664,,,,
868,0.03197,0.99367,,,,
869,0.00432,1,,,,
870,1.00E-05,1,0.02124,0.98592,,
871,0.00396,1,,,,
872,0.02787,0.98667,,,,
873,0.02147,0.99401,,,,
874,0.03341,0.985,,,,
875,0.01554,0.99063,,,,
876,0.01825,0.99223,,,,
877,1.00E-05,1,,,,
878,0.02893,0.99026,,,,
879,0.02954,0.98413,,,,
880,0.00051,1,0.03651,0.98444,,
881,0.00233,1,,,,
882,0.00332,1,0.02044,0.99329,,
