step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
190,0.09986,0.96422,0.04473,0.98678,,
191,0.0907,0.96122,,,,
192,0.00128,1,,,,
193,0.04684,0.97941,,,,
194,0.02921,0.98566,,,,
195,0.01322,1,,,,
196,0.05929,0.98162,,,,
197,0.07442,0.98644,,,,
198,0.03618,0.98806,,,,
199,0.06794,0.97812,,,,
200,0.05541,0.96928,0.03019,0.98529,,
201,0.04006,0.9802,,,,
202,0.07367,0.97872,,,,
203,0.06026,0.98425,,,,
204,0.00522,1,,,,
205,0.04391,0.97761,,,,
206,0.02525,1,,,,
207,0.08085,0.98042,,,,
208,7.00E-05,1,,,,
209,0.0427,0.98276,,,,
210,0.05125,0.98246,0.09921,0.97009,,
211,0.0948,0.96429,,,,
212,0.04399,0.97243,,,,
213,0.07234,0.97154,,,,
214,0.0276,0.98413,,,,
215,0.0775,0.97255,,,,
216,0.13536,0.98276,,,,
217,0.04266,0.99338,,,,
218,0.018,0.99138,,,,
219,0.00354,1,,,,
220,0.06902,0.98161,0.07295,0.9736,,
221,0.1126,0.9527,,,,
222,0.06967,0.97201,,,,
223,0.01723,0.99408,,,,
224,0.0703,0.99213,,,,
225,0.03539,0.98936,,,,
226,0.02402,0.99479,,,,
227,0.01758,0.99138,,,,
228,4.00E-05,1,,,,
229,0.02684,0.98339,,,,
230,0.08777,0.95152,0.04726,0.98462,,
231,0.04789,0.98291,,,,
232,0.06448,0.98571,,,,
233,0.10343,0.95822,,,,
234,0.08893,0.97386,,,,
235,0.07987,0.97321,,,,
236,0.02934,0.98195,,,,
237,0.08714,0.96571,,,,
238,0.04451,0.98433,,,,
239,0.03801,0.98936,,,,
240,0.0454,0.98387,0.06824,0.97287,,
241,0.04756,0.98333,,,,
242,0.10348,0.96117,,,,
243,0.00991,1,,,,
244,0.02266,0.99383,,,,
245,0.05749,0.97758,,,,
246,0.04279,0.9863,,,,
247,0.0467,0.97784,,,,
248,0.03983,0.9726,,,,
249,0.01642,0.99038,,,,
250,0.01737,0.99138,0.0933,0.95152,,
251,0.01643,0.99383,,,,
252,0.09956,0.96296,,,,
253,0.02979,0.98872,,,,
254,0.03441,0.99487,,,,
255,0.00012,1,,,,
256,0.04086,0.98352,,,,
257,0.08839,0.97009,,,,
258,0.00773,1,,,,
259,0.00394,1,,,,
260,3.00E-05,1,0.077,0.97688,,
261,0.03144,0.97479,,,,
262,0.07792,0.98065,,,,
263,0.06972,0.97778,,,,
264,0.03392,0.98745,,,,
265,0.11101,0.95973,,,,
266,0.08135,0.97966,,,,
267,0.02591,0.99057,,,,
268,0.05517,0.97448,,,,
269,0.06423,0.98582,,,,
270,0.05169,0.98459,0.01322,0.99483,,
271,0.03713,0.99248,,,,
272,0.07354,0.97328,,,,
273,0.05976,0.96729,,,,
274,0.07636,0.96818,,,,
275,0.0821,0.98529,,,,
276,0.03857,0.97818,,,,
277,0.04173,0.98039,,,,
278,0.02358,0.98929,,,,
279,0.05682,0.97516,,,,
280,0.01994,0.99225,0.01471,0.99605,,
281,0.03178,0.98425,,,,
282,0.0699,0.9791,,,,
283,0.04542,0.98107,,,,
284,0.02871,0.99194,,,,
285,0.03115,0.98276,,,,
286,0.02927,0.99281,,,,
287,0.03575,0.98268,,,,
288,0.01622,0.99213,,,,
289,0.08476,0.97004,,,,
