Model,Strategy,Mean F1,Std Dev,Count
gpt-4o-mini-ft,zero-shot,0.7135955457695163,0.11538368603649775,42
gpt-4o-mini-ft,one-shot,0.6991658136823377,0.1227587976774178,42
gpt-4o-mini-ft,few-shot,0.6494466780875507,0.1320790985972119,42
gpt-4o-2024-08-06,one-shot,0.5814932305484498,0.12780871597008953,42
gpt-4o-2024-08-06,few-shot,0.530075744905306,0.11934984527068337,42
o3-mini-2025-01-31,one-shot,0.3843619517840919,0.17767498601979023,37
o3-mini-2025-01-31,few-shot,0.3556768326960546,0.14880856957378027,36
gpt-4o-2024-08-06,zero-shot,0.26136723752786195,0.12152664260242343,39
o3-mini-2025-01-31,zero-shot,0.08446902592383676,0.027940263867741642,22
